Gene1,Gene2,Score
FOS,FDFT1,2668.0
FOS,UBE2C,2792.0
FOS,DCAF11,1751.0
FOS,TOP2A,1849.0
FOS,FOXRED1,1389.0
FOS,ABCB8,1251.0
FOS,GOLPH3L,1790.0
FOS,SPC25,1427.0
FOS,MCM5,1573.0
FOS,CDCA3,899.0
FOS,CELA1,1113.0
FOS,LSP1,1214.0
FOS,CDT1,986.0
FOS,PACSIN2,1100.0
FOS,TANGO2,1204.0
FOS,CENPK,1162.0
FOS,UCKL1,957.0
FOS,NARF,851.0
FOS,CDCA8,986.0
FOS,ORC2,1066.0
FOS,ISG20,733.0
FOS,RANGAP1,534.0
FOS,FZR1,709.0
FOS,IFI203,911.0
FOS,MSMO1,531.0
FOS,SFXN3,620.0
FOS,CD1D1,732.0
FOS,MFSD1,1883.0
FOS,MTHFD1,521.0
FOS,TMEM97,693.0
FOS,ARL6IP6,580.0
FOS,APOE,775.0
FOS,ASF1B,728.0
FOS,TSPAN33,653.0
FOS,TARS,410.0
FOS,ZFP386,369.0
FOS,CENPA,401.0
FOS,CCNB2,590.0
FOS,PAFAH2,406.0
FOS,NUDT9,620.0
FOS,F2R,1070.0
FOS,WARS,417.0
FOS,E2F8,369.0
FOS,CCNB1,553.0
FOS,SMPDL3A,515.0
FOS,GCNT2,573.0
FOS,TOR4A,432.0
FOS,SPHK1,428.0
FOS,MRPL37,523.0
FOS,CDCA4,552.0
FOS,MT2,425.0
FOS,RAD51AP1,491.0
FOS,MNS1,477.0
FOS,RCC1,392.0
FOS,SLC11A2,544.0
FOS,UHRF1,492.0
FOS,E2F6,356.0
FOS,ABCB4,529.0
FOS,UAP1,471.0
FOS,ELAC2,462.0
FOS,AQP9,565.0
FOS,BIRC5,584.0
FOS,MT1,413.0
FOS,MKI67,533.0
FOS,CTLA2A,1164.0
FOS,JUN,587.0
FOS,PPP1R15A,207.0
FOS,DNPEP,252.0
FOS,KIF22,426.0
FOS,DUSP1,369.0
FOS,EMILIN2,348.0
FOS,VWA5A,293.0
FOS,KPNA3,298.0
FOS,TMC6,335.0
FOS,IARS,383.0
FOS,IRGM1,355.0
FOS,HSD3B7,425.0
FOS,HAGH,317.0
FOS,MARS,319.0
FOS,TIMM29,226.0
FOS,TMEM129,255.0
FOS,TACC3,255.0
FOS,SLC25A21,514.0
FOS,NUP93,151.0
FOS,RBPMS,252.0
FOS,RABIF,274.0
FOS,DUSP2,389.0
FOS,LEPROT,313.0
FOS,NEURL3,356.0
FOS,CCNA2,233.0
FOS,HPN,323.0
FOS,RRM2,304.0
FOS,MAPK9,231.0
FOS,SLC31A1,229.0
FOS,TPX2,228.0
FOS,CAST,293.0
FOS,DUS1L,589.0
FOS,TGM2,419.0
FOS,PQLC3,248.0
FOS,CDC20,269.0
FOS,LY6A,331.0
FOS,INPP5K,234.0
FOS,RASSF5,212.0
FOS,UBE2G2,251.0
FOS,GTF2H1,795.0
FOS,ANXA6,235.0
FOS,HSPH1,233.0
FOS,UBA3,283.0
FOS,PQLC1,217.0
FOS,LONP1,430.0
FOS,STEAP3,212.0
FOS,SERPINB9,163.0
FOS,RFC4,318.0
FOS,CTSC,234.0
FOS,RTP4,240.0
FOS,AURKB,315.0
FOS,NCLN,213.0
FOS,PTDSS2,169.0
FOS,SERPINA3G,307.0
FOS,ANXA5,183.0
FOS,ASAH1,199.0
FOS,APLP2,235.0
FOS,PRSS50,274.0
FOS,ABHD4,233.0
FOS,PPME1,133.0
FOS,MCM4,282.0
FOS,ORC6,248.0
FOS,GSTM5,289.0
FOS,SQLE,397.0
FOS,FAM136A,250.0
FOS,CTSL,165.0
FOS,RFESD,136.0
FOS,SLC14A1,192.0
FOS,OPTN,202.0
FOS,NAMPT,164.0
FOS,TFRC,206.0
FOS,POLE3,138.0
FOS,CTSE,198.0
FOS,TBXAS1,170.0
FOS,ABCF3,230.0
FOS,GNB4,202.0
FOS,ZFP35,194.0
FOS,ZDHHC6,254.0
FOS,MGST3,229.0
FOS,CUL4A,194.0
FOS,NUP107,168.0
FOS,PROCR,187.0
FOS,ORC5,202.0
FOS,LCP2,215.0
FOS,PSMF1,443.0
FOS,ATP1B2,201.0
FOS,EMILIN1,166.0
FOS,FIGNL1,164.0
FOS,RGS1,157.0
FOS,RNF14,149.0
FOS,GIMAP6,166.0
FOS,CYBC1,138.0
FOS,ENPP4,239.0
FOS,MINPP1,148.0
FOS,CCNE1,117.0
FOS,DHFR,185.0
FOS,LYZ2,167.0
FOS,TNFAIP2,176.0
FOS,PPOX,148.0
FOS,ME2,194.0
FOS,IFI30,190.0
FOS,PRKAB1,115.0
FOS,SDHAF2,302.0
FOS,ORAI3,179.0
FOS,BYSL,116.0
FOS,AK3,287.0
FOS,MAD2L1,179.0
FOS,BIRC2,172.0
FOS,TSPAN14,122.0
FOS,STARD10,164.0
FOS,VPS33B,110.0
FOS,IL15,166.0
FOS,BLVRB,157.0
FOS,TRIM47,136.0
FOS,CMTM6,138.0
FOS,CDC6,129.0
FOS,ELP3,132.0
FOS,XPNPEP1,121.0
FOS,SLC35A1,229.0
FOS,PIGQ,226.0
FOS,FPGS,142.0
FOS,PLCG2,123.0
FOS,ZFP263,125.0
FOS,PLA2G4A,123.0
FOS,GIMAP5,211.0
FOS,VKORC1L1,128.0
FOS,RNF125,114.0
FOS,LRRC8C,112.0
FOS,AP1G2,110.0
FOS,TMEM109,198.0
FOS,POLR1B,184.0
FOS,IRF9,184.0
FOS,EDC3,183.0
FOS,GOLM1,180.0
FOS,PLA2G12A,177.0
FOS,ALDH1A1,176.0
FOS,NCEH1,173.0
FOS,PFKM,172.0
FOS,CYTH3,172.0
FOS,SMIM5,169.0
FOS,TBC1D10C,158.0
FOS,CPOX,157.0
FOS,TUBGCP3,154.0
FOS,MYCN,146.0
FOS,HACD4,134.0
FOS,HEBP1,133.0
FOS,PNO1,131.0
FOS,RAB32,124.0
FOS,OTUD6B,115.0
FOS,ALG2,113.0
FOS,MFGE8,112.0
FOS,SLC19A1,110.0
FOS,FASTKD2,110.0
FOS,PITPNB,107.0
FOS,PRELID3B,105.0
FOS,IGTP,103.0
FOS,TTLL12,101.0
FOS,PIK3R2,101.0
GFI1B,ASF1B,1175.0
GFI1B,ZFP386,673.0
GFI1B,PQLC3,948.0
GFI1B,ORAI3,419.0
GFI1B,TCP11L2,403.0
GFI1B,FIGNL1,358.0
GFI1B,TMEM97,361.0
GFI1B,MYCT1,770.0
GFI1B,BIRC5,326.0
GFI1B,GTF2H1,314.0
GFI1B,JUN,689.0
GFI1B,SLC35A1,271.0
GFI1B,PROCR,584.0
GFI1B,CAST,246.0
GFI1B,RFESD,207.0
GFI1B,NEURL3,531.0
GFI1B,LIMD2,152.0
GFI1B,ATG4B,193.0
GFI1B,MFGE8,258.0
GFI1B,TIMM29,284.0
GFI1B,TANGO2,463.0
GFI1B,HPN,456.0
GFI1B,BIRC2,285.0
GFI1B,ZFP263,160.0
GFI1B,POLR1B,174.0
GFI1B,CDCA3,256.0
GFI1B,RTP4,386.0
GFI1B,PSMF1,173.0
GFI1B,ENPP4,189.0
GFI1B,RFC4,249.0
GFI1B,VPS33B,137.0
GFI1B,PIK3R2,185.0
GFI1B,MCM4,173.0
GFI1B,TYMS,229.0
GFI1B,RRM1,197.0
GFI1B,PBK,192.0
GFI1B,ORC5,261.0
GFI1B,CERS5,194.0
GFI1B,IRF1,173.0
GFI1B,WARS,119.0
GFI1B,POLE3,146.0
GFI1B,KLHL6,188.0
GFI1B,TSPAN14,182.0
GFI1B,NCEH1,191.0
GFI1B,BLVRB,316.0
GFI1B,PIGQ,161.0
GFI1B,GCNT2,185.0
GFI1B,HSPH1,293.0
GFI1B,CPQ,155.0
GFI1B,MTHFD1,161.0
GFI1B,UBE2C,169.0
GFI1B,PFKM,279.0
GFI1B,ZDHHC6,148.0
GFI1B,RNF14,101.0
GFI1B,NGLY1,152.0
GFI1B,RBPMS,263.0
GFI1B,MYCN,244.0
GFI1B,CTSC,244.0
GFI1B,CD82,244.0
GFI1B,OTUD6B,132.0
GFI1B,HACD3,128.0
GFI1B,TMEM129,239.0
GFI1B,TACC3,239.0
GFI1B,GMNN,239.0
GFI1B,PLCG2,229.0
GFI1B,UROS,139.0
GFI1B,RASAL3,137.0
GFI1B,SLC18A2,218.0
GFI1B,TRMT11,216.0
GFI1B,CDT1,216.0
GFI1B,RANGAP1,105.0
GFI1B,CTSL,205.0
GFI1B,WDR4,203.0
GFI1B,ABHD4,203.0
GFI1B,INPP5K,123.0
GFI1B,CENPK,196.0
GFI1B,NUDT9,188.0
GFI1B,MAD2L1,106.0
GFI1B,EPOR,188.0
GFI1B,DUS1L,186.0
GFI1B,SDHAF2,181.0
GFI1B,IRF9,180.0
GFI1B,CUL4A,180.0
GFI1B,CDCA4,176.0
GFI1B,PTDSS2,174.0
GFI1B,TPX2,172.0
GFI1B,PPP1R15A,171.0
GFI1B,PRSS50,168.0
GFI1B,GOLPH3L,168.0
GFI1B,BYSL,167.0
GFI1B,TFRC,162.0
GFI1B,PPME1,161.0
GFI1B,IFI203,161.0
GFI1B,TARS,160.0
GFI1B,MTFR1,159.0
GFI1B,ARL6IP6,158.0
GFI1B,CDC6,156.0
GFI1B,CCNB2,156.0
GFI1B,RAB32,153.0
GFI1B,ELP3,148.0
GFI1B,DHFR,145.0
GFI1B,ABCF3,145.0
GFI1B,FAM136A,144.0
GFI1B,TAF12,140.0
GFI1B,NAMPT,140.0
GFI1B,HARS,138.0
GFI1B,TK1,136.0
GFI1B,RNF125,136.0
GFI1B,PPOX,134.0
GFI1B,PLA2G12A,134.0
GFI1B,IARS,134.0
GFI1B,SLC16A1,133.0
GFI1B,PRELID3B,129.0
GFI1B,LONP1,129.0
GFI1B,FOS,129.0
GFI1B,GFM1,127.0
GFI1B,CCNA2,125.0
GFI1B,ASAH1,125.0
GFI1B,TUBGCP3,123.0
GFI1B,EPDR1,123.0
GFI1B,UBA3,121.0
GFI1B,SLC25A38,121.0
GFI1B,PHF10,121.0
GFI1B,MFSD14B,120.0
GFI1B,CTLA2A,119.0
GFI1B,PAFAH2,118.0
GFI1B,CYBC1,117.0
GFI1B,SQLE,116.0
GFI1B,SLC25A21,116.0
GFI1B,RAD51AP1,116.0
GFI1B,STEAP3,115.0
GFI1B,ZFP35,114.0
GFI1B,CPOX,114.0
GFI1B,PPAT,111.0
GFI1B,ABCB8,110.0
GFI1B,STAP1,108.0
GFI1B,ME2,108.0
GFI1B,CASP3,107.0
GFI1B,ZFP110,103.0
GFI1B,KIF22,103.0
GFI1B,CEPT1,103.0
GFI1B,ALAD,103.0
GFI1B,BAP1,102.0
IRF1,RTP4,4485.0
IRF1,OASL2,4037.0
IRF1,IGTP,3462.0
IRF1,NCLN,4185.0
IRF1,SERPINB9,3006.0
IRF1,IRGM1,1933.0
IRF1,ISG20,2563.0
IRF1,RFESD,3167.0
IRF1,TCP11L2,2213.0
IRF1,RCN1,1550.0
IRF1,WARS,2660.0
IRF1,IL15,2382.0
IRF1,UROS,1950.0
IRF1,BLVRB,3297.0
IRF1,FOS,1829.0
IRF1,NAMPT,1588.0
IRF1,VWA5A,1751.0
IRF1,TOP2A,1424.0
IRF1,ASAH1,1875.0
IRF1,MCM4,1382.0
IRF1,MGRN1,1002.0
IRF1,CPQ,1199.0
IRF1,CDCA3,724.0
IRF1,NUDT19,818.0
IRF1,DHFR,1631.0
IRF1,ARL6IP6,895.0
IRF1,IFI203,614.0
IRF1,DENND2D,892.0
IRF1,IFI44,976.0
IRF1,ARHGEF6,879.0
IRF1,CD84,556.0
IRF1,BIRC2,524.0
IRF1,CPT1A,491.0
IRF1,ATP13A1,664.0
IRF1,GCNT2,474.0
IRF1,CDT1,792.0
IRF1,GNB4,650.0
IRF1,PSMF1,416.0
IRF1,IRF9,374.0
IRF1,RABIF,561.0
IRF1,PLXNC1,570.0
IRF1,PACSIN2,363.0
IRF1,FOXRED1,366.0
IRF1,STOM,383.0
IRF1,NUDT9,557.0
IRF1,CMTM6,439.0
IRF1,LCP2,240.0
IRF1,WLS,213.0
IRF1,TIMM29,270.0
IRF1,OTUD6B,242.0
IRF1,MFSD1,358.0
IRF1,CD1D1,343.0
IRF1,SERPINA3G,368.0
IRF1,CUL4A,243.0
IRF1,PLA2G4A,178.0
IRF1,BUB1B,267.0
IRF1,CYBC1,199.0
IRF1,PAFAH2,218.0
IRF1,TANGO2,198.0
IRF1,RAD51AP1,159.0
IRF1,CTSC,155.0
IRF1,POLE3,210.0
IRF1,TRIB2,164.0
IRF1,RNF125,205.0
IRF1,ANXA1,142.0
IRF1,RANGAP1,123.0
IRF1,TMC6,191.0
IRF1,MFSD14B,184.0
IRF1,TMEM129,182.0
IRF1,TACC3,182.0
IRF1,G6PDX,181.0
IRF1,STAP1,114.0
IRF1,CDCA8,170.0
IRF1,DUS1L,167.0
IRF1,ELAC2,119.0
IRF1,CTSL,118.0
IRF1,VKORC1L1,117.0
IRF1,GNG11,114.0
IRF1,PIGQ,105.0
IRF1,CTSE,105.0
JUN,CDT1,2065.0
JUN,CD1D1,2107.0
JUN,ABCB8,1888.0
JUN,TRIM47,2426.0
JUN,NEURL3,2064.0
JUN,PPP1R15A,1458.0
JUN,TGM2,2382.0
JUN,UCKL1,1832.0
JUN,RASSF5,1675.0
JUN,LSP1,1535.0
JUN,CHMP7,1298.0
JUN,PRKAB1,1629.0
JUN,CELA1,1519.0
JUN,BIRC2,1253.0
JUN,DUSP1,1174.0
JUN,RTP4,1598.0
JUN,NAMPT,1208.0
JUN,ZFP386,1257.0
JUN,MARS,1093.0
JUN,F2R,1266.0
JUN,TMC6,988.0
JUN,RANGAP1,1169.0
JUN,SLC31A1,1113.0
JUN,UAP1,1100.0
JUN,HPN,1637.0
JUN,RFC4,1063.0
JUN,FIGNL1,732.0
JUN,SFXN3,953.0
JUN,FZR1,875.0
JUN,RAD51AP1,1152.0
JUN,RBPMS,1139.0
JUN,EDC3,1113.0
JUN,ISG20,1004.0
JUN,OPTN,1635.0
JUN,MT1,1168.0
JUN,E2F8,1524.0
JUN,TOR4A,1017.0
JUN,PAFAH2,1022.0
JUN,SLC25A38,937.0
JUN,PRSS50,1457.0
JUN,HSD3B7,1146.0
JUN,BIRC5,819.0
JUN,CENPA,1173.0
JUN,MT2,961.0
JUN,IFI203,936.0
JUN,NUP107,841.0
JUN,SMPDL3A,1052.0
JUN,INPP5K,736.0
JUN,KPNA3,602.0
JUN,AQP9,1201.0
JUN,EMILIN2,943.0
JUN,LONP1,868.0
JUN,CAST,1296.0
JUN,GIMAP6,948.0
JUN,NUDT9,756.0
JUN,RGS1,963.0
JUN,CTSC,825.0
JUN,MINPP1,1054.0
JUN,ABCF3,787.0
JUN,CTSE,1022.0
JUN,DUSP2,1495.0
JUN,UHRF1,759.0
JUN,TBXAS1,1094.0
JUN,GSTM1,1104.0
JUN,FOXRED1,1021.0
JUN,FAM136A,769.0
JUN,ORC5,688.0
JUN,UBE2G2,635.0
JUN,RCC1,1297.0
JUN,LDHB,1073.0
JUN,PITPNB,708.0
JUN,STARD10,1095.0
JUN,LY6A,899.0
JUN,ME2,1175.0
JUN,TIMM29,584.0
JUN,XPNPEP1,612.0
JUN,ARL6IP6,1672.0
JUN,ASAH1,1010.0
JUN,VKORC1L1,609.0
JUN,GCNT2,968.0
JUN,BLVRB,1266.0
JUN,RAB32,1556.0
JUN,TARS,738.0
JUN,VPS33B,615.0
JUN,IRGM1,728.0
JUN,BAP1,725.0
JUN,ANXA5,738.0
JUN,CDCA4,586.0
JUN,SPHK1,644.0
JUN,CDCA3,542.0
JUN,PROCR,925.0
JUN,SERPINA3G,1040.0
JUN,TBC1D10C,517.0
JUN,RNF14,1700.0
JUN,RABIF,478.0
JUN,CD82,534.0
JUN,BYSL,775.0
JUN,MKI67,1013.0
JUN,DNPEP,493.0
JUN,PIK3R2,383.0
JUN,PPME1,458.0
JUN,ZFP35,480.0
JUN,RRM1,682.0
JUN,GTF2H1,473.0
JUN,TNFAIP2,1463.0
JUN,IRF1,1312.0
JUN,ABCB4,990.0
JUN,DCAF11,517.0
JUN,ABHD4,391.0
JUN,MSMO1,473.0
JUN,GNB4,844.0
JUN,PQLC1,521.0
JUN,MAD2L1,454.0
JUN,HACD4,534.0
JUN,WDR4,580.0
JUN,FDFT1,484.0
JUN,CCNA2,409.0
JUN,DENND2D,986.0
JUN,PACSIN2,864.0
JUN,PMPCA,583.0
JUN,TFRC,439.0
JUN,NUP93,499.0
JUN,TSPAN14,310.0
JUN,WARS,597.0
JUN,LYZ2,472.0
JUN,IRF9,449.0
JUN,DUS1L,319.0
JUN,GSTM5,965.0
JUN,LEPROT,761.0
JUN,TMEM97,1154.0
JUN,E2F6,927.0
JUN,MOGS,477.0
JUN,ELAC2,296.0
JUN,ORC2,433.0
JUN,PQLC3,450.0
JUN,CUL4A,551.0
JUN,MCM4,449.0
JUN,HARS,769.0
JUN,POLD1,411.0
JUN,POLR1B,312.0
JUN,HLF,458.0
JUN,APOE,458.0
JUN,FPGS,366.0
JUN,NCEH1,407.0
JUN,CTSL,385.0
JUN,MGRN1,419.0
JUN,UROS,504.0
JUN,SLC35A1,568.0
JUN,IL15,1566.0
JUN,IARS2,542.0
JUN,IARS,438.0
JUN,HAGH,345.0
JUN,LCP2,410.0
JUN,CYBC1,510.0
JUN,TMEM129,254.0
JUN,TACC3,254.0
JUN,PTDSS2,1088.0
JUN,CASP3,497.0
JUN,CMTM6,421.0
JUN,CYTH3,598.0
JUN,ELP3,513.0
JUN,OASL2,483.0
JUN,FOS,388.0
JUN,CDC6,257.0
JUN,ZFP263,533.0
JUN,STEAP3,392.0
JUN,UBA3,1056.0
JUN,SDHAF2,537.0
JUN,ANXA6,417.0
JUN,FASTKD2,282.0
JUN,RFESD,438.0
JUN,ALAD,358.0
JUN,MFSD14B,370.0
JUN,GOLPH3L,342.0
JUN,ANXA1,348.0
JUN,OTUD6B,265.0
JUN,NCLN,455.0
JUN,PRELID3B,411.0
JUN,LIMD2,1229.0
JUN,IFI30,426.0
JUN,UBR7,377.0
JUN,MCM5,254.0
JUN,CENPK,274.0
JUN,HSPH1,338.0
JUN,RMND5B,729.0
JUN,ST3GAL5,679.0
JUN,TRIB2,438.0
JUN,SLC43A3,1605.0
JUN,VWA5A,764.0
JUN,PPOX,317.0
JUN,EMILIN1,379.0
JUN,AP1G2,302.0
JUN,CAPN7,797.0
JUN,TCP11L2,386.0
JUN,MFSD1,239.0
JUN,LRRC14,338.0
JUN,STOM,347.0
JUN,SERPINB9,457.0
JUN,CDCA8,352.0
JUN,TPX2,262.0
JUN,TANGO2,326.0
JUN,SPIRE1,823.0
JUN,ORAI3,203.0
JUN,CEPT1,293.0
JUN,HEBP1,711.0
JUN,SQLE,302.0
JUN,PPAT,330.0
JUN,C1QTNF12,328.0
JUN,FECH,264.0
JUN,GFM1,309.0
JUN,ZDHHC6,399.0
JUN,ALG2,207.0
JUN,POLE3,216.0
JUN,UBAC1,280.0
JUN,TMEM109,302.0
JUN,ASF1B,213.0
JUN,IL21R,525.0
JUN,TTLL12,251.0
JUN,APLP2,325.0
JUN,DHFR,208.0
JUN,PSMF1,294.0
JUN,SLC41A3,342.0
JUN,TUBGCP3,284.0
JUN,ATP13A1,302.0
JUN,LRRC8C,288.0
JUN,WDR55,136.0
JUN,WLS,585.0
JUN,ATG4B,309.0
JUN,SLC19A1,411.0
JUN,CCNE1,295.0
JUN,PBK,255.0
JUN,PIGQ,569.0
JUN,MRPL37,245.0
JUN,MTHFD1,249.0
JUN,FTSJ3,262.0
JUN,TSC22D3,192.0
JUN,ASNS,423.0
JUN,GMNN,194.0
JUN,SMC2,250.0
JUN,SEPT8,437.0
JUN,TYMS,271.0
JUN,NGLY1,399.0
JUN,TRMT11,309.0
JUN,BUB1B,226.0
JUN,SNX4,286.0
JUN,GFI1B,303.0
JUN,PFKM,240.0
JUN,ZFP110,431.0
JUN,WDR6,189.0
JUN,PNO1,199.0
JUN,IGTP,234.0
JUN,CERS5,187.0
JUN,CDC20,213.0
JUN,FADS1,205.0
JUN,SLC14A1,608.0
JUN,HSDL1,180.0
JUN,MFGE8,223.0
JUN,HEMGN,342.0
JUN,TAF12,261.0
JUN,GATM,309.0
JUN,DECR1,285.0
JUN,CCNB2,171.0
JUN,GRINA,274.0
JUN,MEMO1,193.0
JUN,H1F0,258.0
JUN,BAG2,303.0
JUN,MGST3,219.0
JUN,NUDT19,297.0
JUN,SLC16A1,191.0
JUN,ENPP4,270.0
JUN,PEAR1,593.0
JUN,CPQ,226.0
JUN,CAD,227.0
JUN,KIF22,185.0
JUN,MAPK9,181.0
JUN,SPPL2B,257.0
JUN,ATP1B2,323.0
JUN,GLIPR2,185.0
JUN,TXNRD2,228.0
JUN,ORC6,220.0
JUN,GPR171,511.0
JUN,FTSJ1,257.0
JUN,NARF,160.0
JUN,UTP4,203.0
JUN,TOP2A,147.0
JUN,MNS1,138.0
JUN,IFI44,230.0
JUN,DCAF4,216.0
JUN,GOLM1,210.0
JUN,RNF125,377.0
JUN,PLCG2,160.0
JUN,RAB37,156.0
JUN,PLCB2,215.0
JUN,PLA2G12A,345.0
JUN,RCN1,246.0
JUN,AK3,202.0
JUN,PRIM1,109.0
JUN,CPOX,154.0
JUN,DYNLT3,208.0
JUN,CPT1A,152.0
JUN,TK1,276.0
JUN,SLC25A21,184.0
JUN,MYCN,145.0
JUN,MTFR1,263.0
JUN,ALDH1A1,130.0
JUN,SQOR,139.0
JUN,SGPP1,167.0
JUN,SPC25,172.0
JUN,STAP1,118.0
JUN,CCNB1,117.0
JUN,EPDR1,218.0
JUN,KRT18,217.0
JUN,TM7SF3,199.0
JUN,PHF10,124.0
JUN,SLC11A2,194.0
JUN,CD84,188.0
JUN,UBE2C,187.0
JUN,TSPAN33,182.0
JUN,AQP1,182.0
JUN,SPNS2,180.0
JUN,ATP2A3,173.0
JUN,MFNG,169.0
JUN,GIMAP5,159.0
JUN,RRM2,157.0
JUN,CITED4,155.0
JUN,TMEM176B,147.0
JUN,TMEM176A,147.0
JUN,RASAL3,142.0
JUN,GYPA,139.0
JUN,2210016F16RIK,135.0
JUN,BHLHB9,130.0
JUN,ITIH5,124.0
JUN,ARHGEF6,123.0
JUN,PLXNC1,120.0
JUN,CD9,117.0
JUN,CD34,116.0
JUN,SAMD14,106.0
JUN,ZFP36,102.0
JUN,PPP2R1B,102.0
JUN,PGLYRP2,416.0
JUN,GDF3,205.0
